0,1,2,3,4,5,6,7,8,9,Area_Origen
Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,Grupo 8102,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,,ORDUÑA TRUJILLO OSCAR VLADIMIR,TEMáTICA: ELECCIóN ANIMAL Y PUBLICACIóN DE ARTíCULOS; PRE-REQUISITOS: FLUIDEZ EN LECTURA DE INGLéS EN EL TEMA DE INVESTIGACIóN.,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1818,TEMAS SELEC.EN COMPORT.COGNIC. I,,12:00 a 15:00 A 312,,,,,ZAMORA AREVALO OSCAR,TEMáTICA: CIENCIAS DEL COMPORTAMIENTO Y ECONOMíA; PRE-REQUISITOS: INTERéS POR LA INVESTIGACIóN BáSICA Y APLICADA DESDE UNA PERSPECTIVA EXPERIMENTAL.,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1819,ESTRAT.D EVALUAC.Y CAMB.DEL COMP.I,,,17:00 a 20:00 A 310,,,,MORALES CHAINE SILVIA,TEMáTICA: ANáLISIS CONDUCTUAL APLICADO; SIN PRE-REQUISITOS.,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,Grupo 8103,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,,,,,,08:00 a 18:00 A 304,REYES CONTRERAS RAUL,"TEMáTICA: INVESTIGACIóN BáSICA, APLICADA Y TRASLACIONAL; PRE-REQUISITOS: HABER CURSARDO EL TALLER DE INVESTIGACIóN LLL.",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1818,TEMAS SELEC.EN COMPORT.COGNIC. I,,,,17:00 a 20:00 A 310,,,ERAZO ÑAÑEZ LEYDY ALEEN,TEMáTICA: VíNCULOS ENTRE LAS CIENCIAS DEL COMPORTAMIENTO Y LAS POLíTICAS PúBLICAS; SIN PRE-REQUISITOS,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1820,PRINC.Y TECNICS D CAMBIO DL COMPOR.,,10:00 a 13:00 A 313,,,,,AVILA SANTIBANEZ RAUL,TEMáTICA: APLICACIóN DE LOS PRINCIPIOS DEL ANáLISIS EXPERIMENTAL DE LA CONDUCTA EN EL ANáLISIS CONDUCTUAL APLICADO; TEORíA Y MéTODOS; PRE-REQUISITOS: LEER EN INGLéS.,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1821,TALLER DE PRACTICA SUPERVISADA I,,,,10:00 a 17:00 B 12,,,MORALES CHAINE SILVIA,TEMáTICA: SALUD MENTAL EN PERSONAS MEXICANAS QUE VIVEN EN EUA; PRE-REQUISITOS: INTERéS EN EL ANáLISIS CONDUCTUAL APLICADO CON PERSONAS ADULTAS,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,Grupo 8104,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,,ESCOBAR HERNANDEZ ROGELIO,"TEMáTICA: ANáLISIS EXPERIMENTAL DE LA CONDUCTA ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, ROGELIO_ESCOBAR@COMUNIDAD.UNAM.MX",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,Grupo 8105,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,07:00 a 09:00 AULA PENDIENTE,,AVILA SANTIBANEZ RAUL,"TEMáTICA: AUTOCONTROL ; PRE-REQUISITOS: ENTREVISTA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO, OBLIGATORIA, RAULAS@UNAM.MX",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,Grupo 8106,CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
